idx1,idx2,distance,sample_count,merge_id
96,411,3.873124879,2,514
173,308,4.009900312,2,515
72,306,4.022898897,2,516
21,226,4.138522127,2,517
5,391,4.199096002,2,518
427,486,4.289483592,2,519
189,496,4.731508291,2,520
93,106,5.113533313,2,521
113,364,5.204464907,2,522
116,309,5.219378612,2,523
44,345,5.231718413,2,524
177,295,5.313466024,2,525
301,358,5.349195653,2,526
131,324,5.369950577,2,527
37,340,5.404001031,2,528
34,283,5.484127679,2,529
31,475,5.56778846,2,530
174,252,5.583732583,2,531
29,193,5.592763439,2,532
199,223,5.628422493,2,533
158,293,5.639527886,2,534
319,405,5.700038409,2,535
220,262,5.744579914,2,536
169,499,5.770079449,2,537
336,349,5.780240712,2,538
251,388,5.800252705,2,539
363,367,5.831144007,2,540
321,418,5.843899599,2,541
147,510,5.892078183,2,542
204,250,5.938917931,2,543
26,124,6.006733311,2,544
303,331,6.02081615,2,545
42,397,6.029908862,2,546
129,497,6.035301806,2,547
89,256,6.040356016,2,548
24,538,6.054194926,3,549
224,449,6.119731712,2,550
431,461,6.121155521,2,551
15,482,6.121843538,2,552
144,495,6.257634465,2,553
211,393,6.329895349,2,554
111,178,6.344860043,2,555
312,407,6.347564727,2,556
175,401,6.350996394,2,557
33,373,6.366119687,2,558
100,310,6.493430139,2,559
110,381,6.566321157,2,560
409,428,6.610895874,2,561
304,315,6.622951303,2,562
412,514,6.632270013,3,563
51,156,6.639242102,2,564
221,410,6.642161171,2,565
73,279,6.647111163,2,566
248,280,6.685008636,2,567
143,357,6.709000336,2,568
133,383,6.74590583,2,569
432,478,6.817384822,2,570
299,425,6.819664095,2,571
60,298,6.830738615,2,572
338,344,6.89196731,2,573
127,540,6.900817073,3,574
210,451,6.979437843,2,575
351,484,7.014987812,2,576
509,516,7.028577121,3,577
67,190,7.072043898,2,578
125,473,7.083713434,2,579
205,385,7.087634828,2,580
307,316,7.112687514,2,581
123,474,7.184156122,2,582
40,448,7.211161935,2,583
117,413,7.211726963,2,584
408,494,7.222843441,2,585
57,376,7.223854243,2,586
382,396,7.271931752,2,587
404,416,7.318035576,2,588
285,400,7.341935789,2,589
185,547,7.345762456,3,590
151,290,7.349311439,2,591
297,386,7.354045012,2,592
325,334,7.416550589,2,593
374,526,7.452644319,3,594
104,161,7.489048616,2,595
46,556,7.535484361,3,596
305,546,7.540661037,3,597
157,368,7.547258147,2,598
294,445,7.56127023,2,599
472,531,7.576598625,3,600
152,528,7.576954426,3,601
153,287,7.591105885,2,602
32,80,7.597152516,2,603
314,452,7.610444266,2,604
259,354,7.616152078,2,605
379,417,7.634279159,2,606
163,550,7.636924326,3,607
333,369,7.650005231,2,608
101,488,7.681150562,2,609
115,119,7.693124423,2,610
523,576,7.707864676,4,611
462,535,7.713266677,3,612
66,182,7.717682167,2,613
288,394,7.767564189,2,614
170,527,7.77202911,3,615
171,243,7.776095526,2,616
23,273,7.796631986,2,617
25,272,7.810445705,2,618
64,95,7.852689468,2,619
212,569,7.898639489,3,620
196,524,7.905225009,3,621
36,241,7.977589995,2,622
14,207,8.02125116,2,623
202,255,8.105288969,2,624
179,581,8.108856106,3,625
71,318,8.12259806,2,626
188,434,8.131699949,2,627
387,492,8.164606619,2,628
260,491,8.19346654,2,629
266,458,8.195103501,2,630
149,289,8.239732052,2,631
430,534,8.248709809,3,632
208,551,8.275398973,3,633
138,395,8.307184074,2,634
10,13,8.307392431,2,635
159,271,8.312602046,2,636
160,342,8.32184484,2,637
120,597,8.342956092,4,638
92,195,8.38686261,2,639
234,487,8.397713636,2,640
184,300,8.426622944,2,641
79,198,8.464775445,2,642
142,467,8.465581034,2,643
313,537,8.552636718,3,644
191,229,8.561829441,2,645
347,406,8.564593133,2,646
533,630,8.619916319,4,647
16,265,8.639049829,2,648
82,444,8.661370745,2,649
264,446,8.681478349,2,650
213,356,8.713219473,2,651
493,578,8.714403543,3,652
75,429,8.733275843,2,653
68,148,8.740582619,2,654
97,155,8.765685112,2,655
